"EVENT","VALUE","TIME"
"Fall","246","206,02600"
"Restart","250","206,04210"
"Fall","247","206,74620"
"Restart","251","206,76280"
"Fall","248","207,47070"
"Restart","252","207,48710"
"Fall","249","208,18440"
"Restart","253","208,20210"
"Fall","250","208,91630"
"Restart","254","208,93320"
"Fall","251","209,63280"
"Restart","255","209,64970"
"Fall","252","210,34760"
"Restart","256","210,36520"
"Fall","253","211,06270"
"Restart","257","211,08130"
"Fall","254","211,78760"
"Restart","258","211,80370"
"Fall","255","212,50110"
"Restart","259","212,51720"
"Fall","256","213,22950"
"Restart","260","213,24360"
"Fall","257","213,94720"
"Restart","261","213,96390"
"Fall","258","214,67260"
"Restart","262","214,68900"
"Fall","259","215,38500"
"Restart","263","215,40480"
"Fall","260","216,10930"
"Restart","264","216,12550"
"Fall","261","216,82710"
"Restart","265","216,84300"
"Fall","262","217,54820"
"Restart","266","217,56470"
"Fall","263","218,27250"
"Restart","267","218,29340"
"Fall","264","218,99370"
"Restart","268","219,00980"
"Fall","265","219,71460"
"Restart","269","219,73250"
"Fall","266","220,42160"
"Restart","270","220,44030"
"Fall","267","221,14580"
"Restart","271","221,16260"
"Fall","268","221,86290"
"Restart","272","221,87870"
"Fall","269","222,59430"
"Restart","273","222,61160"
"Fall","270","223,31330"
"Restart","274","223,33030"
"Fall","271","224,03080"
"Restart","275","224,04790"
"Fall","272","224,74370"
"Restart","276","224,76200"
"Fall","273","225,47530"
"Restart","277","225,49210"
"Fall","274","226,19690"
"Restart","278","226,20890"
"Fall","275","226,91790"
"Restart","279","226,95090"
"Fall","276","227,63530"
"Restart","280","227,65820"
"Fall","277","228,34390"
"Restart","281","228,36880"
"Fall","278","229,06870"
"Restart","282","229,08690"
"Fall","279","229,79060"
"Restart","283","229,80700"
"Fall","280","230,50560"
"Restart","284","230,52130"
"Fall","281","231,22970"
"Restart","285","231,24420"
"Fall","282","231,95600"
"Restart","286","231,97140"
"Fall","283","232,67030"
"Restart","287","232,68810"
"Fall","284","233,39220"
"Restart","288","233,41050"
"Fall","285","234,10330"
"Restart","289","234,12150"
"Fall","286","234,82620"
"Restart","290","234,84190"
"Fall","287","235,54850"
"Restart","291","235,56330"
"Fall","288","236,26650"
"Restart","292","236,28300"
"Fall","289","236,98970"
"Restart","293","237,00560"
"Fall","290","237,71040"
"Restart","294","237,72630"
"Fall","291","238,43370"
"Restart","295","238,45120"
"Fall","292","239,15550"
"Restart","296","239,17130"
"Fall","293","239,86480"
"Restart","297","239,88310"
"Fall","294","240,58880"
"Restart","298","240,60310"
"Fall","295","241,30470"
"Restart","299","241,32180"
"Fall","296","242,02320"
"Restart","300","242,04000"
"Fall","297","242,74510"
"Restart","301","242,76170"
"Fall","298","243,46040"
"Restart","302","243,47720"
"Fall","299","244,18320"
"Restart","303","244,19940"
"Fall","300","244,90430"
"Restart","304","244,92210"
"Fall","301","245,63490"
"Restart","305","245,65150"
"Fall","302","246,35000"
"Restart","306","246,36980"
"Fall","303","247,07860"
"Restart","307","247,09740"
"Fall","304","247,78090"
"Restart","308","247,79790"
"Fall","305","248,51390"
"Restart","309","248,53140"
"Fall","306","249,23630"
"Restart","310","249,25330"
"Fall","307","249,95060"
"Restart","311","249,96790"
"Fall","308","250,67100"
"Restart","312","250,68670"
"Fall","309","251,38810"
"Restart","313","251,40900"
"Fall","310","252,11830"
"Restart","314","252,13420"
"Fall","311","252,83430"
"Restart","315","252,85080"
"Fall","312","253,55510"
"Restart","316","253,57120"
"Fall","313","254,26680"
"Restart","317","254,28420"
"Fall","314","254,99550"
"Restart","318","255,01360"
"Fall","315","255,71230"
"Restart","319","255,73270"
"Fall","316","256,42420"
"Restart","320","256,44320"
"Fall","317","257,14630"
"Restart","321","257,16260"
"Fall","318","257,87610"
